id,name,description,fitness,generation,source_folder,line_no,log_path,code_path,bias_detected_f0,bias_detected_g0,case_type
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,Enhanced AdaptiveSwarmGradientDescent by adjusting chaotic perturbation to further diversify the search space.,0.8573482309908158,15,"exp-03-14_040438-LLaMEA-gpt-4o-photovoltaic_(1, 5)",76,"algorithms_LLaMEA-master/exp-03-14_040438-LLaMEA-gpt-4o-photovoltaic_(1, 5)/log.jsonl","algorithms_LLaMEA-master/exp-03-14_040438-LLaMEA-gpt-4o-photovoltaic_(1, 5)/code/try-15-AdaptiveSwarmGradientDescent.py",True,False,f0_only_biased
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,Introduces an adaptive swarm-size strategy and enhanced mutation to improve convergence and performance in dynamic landscapes.,0.09395077767063773,29,exp-12-26_091457-LLaMEA-gpt-4o-gp_func_photonic_20layers_bragg_100xD,30,algorithms_LLaMEA-master/exp-12-26_091457-LLaMEA-gpt-4o-gp_func_photonic_20layers_bragg_100xD/log.jsonl,algorithms_LLaMEA-master/exp-12-26_091457-LLaMEA-gpt-4o-gp_func_photonic_20layers_bragg_100xD/code/try-29-Enhanced_Hybrid_PSO_DE.py,True,False,f0_only_biased
003bcd0a-c451-43a1-bd1e-77851ceeba0f,EnhancedHybridDEPSO,Enhance the exploration-exploitation balance by adjusting the mutation factor more dynamically based on convergence rate.,0.06247482873856954,93,exp-12-20_071518-LLaMEA-gpt-4o-gp_func_meta_surface_100xD,94,algorithms_LLaMEA-master/exp-12-20_071518-LLaMEA-gpt-4o-gp_func_meta_surface_100xD/log.jsonl,algorithms_LLaMEA-master/exp-12-20_071518-LLaMEA-gpt-4o-gp_func_meta_surface_100xD/code/try-93-EnhancedHybridDEPSO.py,True,False,f0_only_biased
003f69ff-e5ee-49f3-95d6-a6f7a0cb0b97,AdaptiveHybridPSO_GA,Implement a temperature-based adaptive mutation rate to enhance exploration adaptively throughout the optimization process.,0.03486767870064041,91,exp-12-21_113700-LLaMEA-gpt-4o-photonic_2layers_ellipsometry_100xD,92,algorithms_LLaMEA-master/exp-12-21_113700-LLaMEA-gpt-4o-photonic_2layers_ellipsometry_100xD/log.jsonl,algorithms_LLaMEA-master/exp-12-21_113700-LLaMEA-gpt-4o-photonic_2layers_ellipsometry_100xD/code/try-91-AdaptiveHybridPSO_GA.py,True,False,f0_only_biased
004530ac-0620-474d-876a-cc9f02116aef,HybridPSODE,Enhanced adaptivity by introducing a dynamic cognitive coefficient scaling based on improvement rate.,0.8533789790370748,37,exp-03-07_130237-LLaMEA-gpt-4o-photovoltaic_with_description_(1 + 1),38,algorithms_LLaMEA-master/exp-03-07_130237-LLaMEA-gpt-4o-photovoltaic_with_description_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130237-LLaMEA-gpt-4o-photovoltaic_with_description_(1 + 1)/code/try-37-HybridPSODE.py,True,False,f0_only_biased
00457828-5b02-43cb-b48c-ab42a25c068a,AdaptiveDynamicEvoPSO,Refine velocity update with stochastic acceleration factors for enhanced exploration.,0.056026963925130416,33,exp-03-24_142236-LLaMEA-gpt-4o-xgboost_photonic_10layers_bragg_100xD,34,algorithms_LLaMEA-master/exp-03-24_142236-LLaMEA-gpt-4o-xgboost_photonic_10layers_bragg_100xD/log.jsonl,algorithms_LLaMEA-master/exp-03-24_142236-LLaMEA-gpt-4o-xgboost_photonic_10layers_bragg_100xD/code/try-33-AdaptiveDynamicEvoPSO.py,True,False,f0_only_biased
004be90a-6787-4f6a-b934-388465d5f0ac,AdaptiveSwarmGradientDescent,Enhanced exploration through chaotic perturbation and adaptive velocity scaling for improved convergence.,0.8236889619291411,4,"exp-03-14_040430-LLaMEA-gpt-4o-photovoltaic_(1, 5)",21,"algorithms_LLaMEA-master/exp-03-14_040430-LLaMEA-gpt-4o-photovoltaic_(1, 5)/log.jsonl","algorithms_LLaMEA-master/exp-03-14_040430-LLaMEA-gpt-4o-photovoltaic_(1, 5)/code/try-4-AdaptiveSwarmGradientDescent.py",True,False,f0_only_biased
00515aca-f3d5-4fa2-b8fa-ad6c50158dee,HybridPSO_DE,Enhanced HybridPSO_DE with improved velocity update using nonlinear inertia weight and adaptive differential mutation to refine exploration and exploitation balance.,0.15626791215106214,27,exp-12-26_093924-LLaMEA-gpt-4o-photonic_20layers_bragg_100xD,28,algorithms_LLaMEA-master/exp-12-26_093924-LLaMEA-gpt-4o-photonic_20layers_bragg_100xD/log.jsonl,algorithms_LLaMEA-master/exp-12-26_093924-LLaMEA-gpt-4o-photonic_20layers_bragg_100xD/code/try-27-HybridPSO_DE.py,True,False,f0_only_biased
005c1b57-c39a-4eef-b89f-706597f2c83c,EnhancedVelocitySwarmMutation,Enhanced Velocity Swarm Mutation (EVSM) improves convergence speed and solution quality by integrating an adaptive neighborhood search strategy with velocity control and diversity-aware mutation.,0.08049024368881923,5,exp-12-21_141302-LLaMEA-gpt-4o-photonic_10layers_bragg_100xD,6,algorithms_LLaMEA-master/exp-12-21_141302-LLaMEA-gpt-4o-photonic_10layers_bragg_100xD/log.jsonl,algorithms_LLaMEA-master/exp-12-21_141302-LLaMEA-gpt-4o-photonic_10layers_bragg_100xD/code/try-5-EnhancedVelocitySwarmMutation.py,True,False,f0_only_biased
007e554c-ae89-4c89-a30b-cff0b3434ffd,EnhancedDAPSO,Introduce a dynamic Lévy flight mutation to enhance exploration and fine-tuning capabilities.,0.05626371107981862,71,exp-12-21_150557-LLaMEA-gpt-4o-gp_func_photonic_10layers_photovoltaic_100xD,72,algorithms_LLaMEA-master/exp-12-21_150557-LLaMEA-gpt-4o-gp_func_photonic_10layers_photovoltaic_100xD/log.jsonl,algorithms_LLaMEA-master/exp-12-21_150557-LLaMEA-gpt-4o-gp_func_photonic_10layers_photovoltaic_100xD/code/try-71-EnhancedDAPSO.py,True,False,f0_only_biased
