id,name,description,fitness,generation,source_folder,line_no,log_path,code_path
b6f693b8-195b-41b6-b21e-929534026542,HybridMetaheuristic,"A hybrid metaheuristic algorithm that combines Differential Evolution (DE) for global exploration and a Memetic Search using Local Search refinements to effectively tackle complex high-dimensional, noisy optimization tasks with a focus on modularity and robustness.",0.7895228825412612,0,exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1),1,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/code/try-0-HybridMetaheuristic.py
391b664c-b629-42ff-ae58-3240a0c7d065,HybridMetaheuristic,Enhanced hybrid algorithm using adaptive DE parameters and dynamic local search iterations for improved exploration and exploitation balance.,0.7709649198725138,1,exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1),2,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/code/try-1-HybridMetaheuristic.py
50604399-a999-4322-8730-4c7bed8fc1e6,HybridMetaheuristic,Enhanced hybrid metaheuristic utilizing adaptive parameters in DE and dynamically adjusted local search iterations for improved exploration-exploitation balance.,0.7868320049601616,2,exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1),3,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/code/try-2-HybridMetaheuristic.py
e858a0f9-3e1c-43e9-aa4b-c2213dd6d991,HybridMetaheuristic,Introduced a dynamic crossover rate in Differential Evolution based on the iteration count to enhance global exploration and local exploitation balance.,0.7797144115579454,3,exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1),4,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/code/try-3-HybridMetaheuristic.py
05557b39-f235-4a28-a715-d67792a3b4d0,HybridMetaheuristic,"An enhanced hybrid metaheuristic algorithm that incorporates adaptive parameter tuning and a progressive layer complexity approach for optimizing high-dimensional, noisy tasks.",0.7885405041971612,4,exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1),5,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/code/try-4-HybridMetaheuristic.py
b4d1ce9b-bfaf-433c-a8b2-5ce18ab95d58,HybridMetaheuristic,Enhanced local search by incorporating adaptive perturbation scaling based on search progress for improved convergence.,0.7895228825412612,5,exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1),6,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/code/try-5-HybridMetaheuristic.py
cd13ec6b-77d2-4b63-9181-dcdd1d9829d1,HybridMetaheuristic,"This refined metaheuristic algorithm enhances local search by dynamically adjusting local search iterations based on the quality of solutions to improve convergence in high-dimensional, noisy optimization tasks.",0.7895228825412612,6,exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1),7,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/code/try-6-HybridMetaheuristic.py
fb860672-2a41-4af4-8dd4-2876f1e39017,HybridMetaheuristic,Enhanced hybrid metaheuristic with a gradual layer increase strategy to manage computational cost and complexity with improved robustness.,0.7895228825412612,7,exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1),8,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/code/try-7-HybridMetaheuristic.py
9dcb57c0-daf6-46e3-bbbc-da87aab4c455,HybridMetaheuristic,Enhanced DE and local search integration with adaptive mutation for improved exploration and convergence in noisy environments.,0.7903439158889406,8,exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1),9,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/code/try-8-HybridMetaheuristic.py
817fcd5a-b564-43c7-bd77-20036afe0813,HybridMetaheuristic,HybridMetaheuristic with diversity preservation via crowding distance to enhance exploration and avoid premature convergence.,0.7946860437280808,9,exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1),10,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/log.jsonl,algorithms_LLaMEA-master/exp-03-07_130131-LLaMEA-gpt-4o-photovoltaic_with_description_insight_(1 + 1)/code/try-9-HybridMetaheuristic.py
